timestamp,node,workers,produced,enqueued,dequeued,dropped_full,latest_depth,max_depth,producer_per_sec,consumer_per_sec,avg_dwell_ms,max_dwell_ms,dispatcher_received,dispatcher_completed,dispatcher_timed_out,dispatcher_max_elapsed_ms,slow_subscriber_dropped
2026-05-02T08:30:35Z,nyc,4,2924,2924,2924,0,1,51,33.963,33.963,2,59,2924,2924,0,205,0
2026-05-02T08:30:35Z,sfo,4,2298,2298,2298,0,1,72,25.811,25.811,4,219,2298,2298,0,331,0
2026-05-02T08:30:35Z,helsinki,4,2405,2405,2405,0,1,326,26.097,26.097,1585,12791,2405,2405,0,12934,0
2026-05-02T08:30:35Z,nuremberg,4,2688,2688,2688,0,1,117,28.504,28.504,279,11653,2688,2688,0,12152,0
2026-05-02T08:30:35Z,singapore,4,2679,2679,2679,0,1,53,27.874,27.874,5,193,2679,2679,0,455,0
2026-05-02T08:30:35Z,sydney,4,2119,2119,2119,0,1,66,21.174,21.174,28,1870,2119,2119,0,1541,0
2026-05-02T09:00:53Z,nyc,4,31994,31994,31994,0,1,71,16.803,16.803,2,208,31994,31994,0,448,0
2026-05-02T09:00:53Z,sfo,4,24890,24890,24890,0,1,215,13.049,13.049,5,397,24890,24890,0,464,0
2026-05-02T09:00:53Z,helsinki,4,25551,25551,25551,0,1,326,13.372,13.372,151,12791,25551,25551,0,12934,0
2026-05-02T09:00:53Z,nuremberg,4,33826,33826,33826,0,1,117,17.685,17.685,25,11653,33826,33826,0,12152,0
2026-05-02T09:00:53Z,singapore,4,33593,33593,33593,0,1,125,17.546,17.546,3,203,33593,33593,0,574,0
2026-05-02T09:00:53Z,sydney,4,25487,25487,25487,0,1,94,13.281,13.281,3,1870,25487,25487,0,1541,0
2026-05-02T09:31:12Z,nyc,4,52409,52409,50552,0,1857,2265,14.076,13.578,8708,966886,50552,50416,132,30007,0
2026-05-02T09:31:12Z,sfo,4,42211,42211,41626,0,585,607,11.329,11.172,1478,898372,41626,41502,120,30017,0
