ts,node,workers_target,prod_total,deq_total,drop_full,latest_depth,max_depth,disp_completed,disp_timed_out,disp_max_elapsed_ms,per_peer_to,uptime_secs
2026-05-03T00:07:30Z,nyc,9,69297,66417,0,2880,6313,66408,0,7218,477,603
2026-05-03T00:07:30Z,sfo,16,83553,50710,22846,9997,10000,50694,0,5851,2949,607
2026-05-03T00:07:30Z,helsinki,16,91424,33752,47673,9999,10000,33736,0,1339,4651,610
2026-05-03T00:07:30Z,nuremberg,16,108513,29324,69189,10000,10000,29308,0,831,8425,615
2026-05-03T00:07:30Z,singapore,16,101000,33940,57064,9996,10000,33924,0,1106,6578,618
2026-05-03T00:07:30Z,sydney,16,104231,41593,52638,10000,10000,41575,2,30002,6452,623
2026-05-03T00:12:56Z,nyc,16,123290,123290,0,1,6313,123290,0,12221,2203,930
2026-05-03T00:12:56Z,sfo,16,139054,113904,25150,1,10000,113904,0,8265,5681,934
2026-05-03T00:12:56Z,helsinki,16,160359,50406,99959,9994,10000,50390,0,1339,10243,936
2026-05-03T00:12:56Z,nuremberg,16,186908,44249,132659,10000,10000,44233,0,1290,15370,940
2026-05-03T00:12:56Z,singapore,16,174271,50313,113961,9997,10000,50297,0,1431,12520,942
2026-05-03T00:12:56Z,sydney,16,176291,72910,93658,9723,10000,72892,2,30002,12636,947
2026-05-03T00:18:20Z,nyc,16,176228,176227,0,1,6313,176226,0,12221,4212,1254
2026-05-03T00:18:20Z,sfo,16,198543,152890,37539,8120,10000,152874,0,8265,10175,1257
2026-05-03T00:18:20Z,helsinki,16,223882,67298,146586,9999,10000,67282,0,1339,15811,1259
2026-05-03T00:18:20Z,nuremberg,16,256701,58797,187904,10000,10000,58781,0,1290,22205,1264
2026-05-03T00:18:20Z,singapore,16,244251,65903,168350,9998,10000,65887,0,1431,18591,1265
2026-05-03T00:18:20Z,sydney,16,236859,111791,115071,9997,10000,111772,3,30002,18518,1270
2026-05-03T00:23:43Z,nyc,16,230286,229942,0,344,6313,229926,0,12221,6072,1576
2026-05-03T00:23:43Z,sfo,16,252921,213165,37539,2225,10000,213149,0,11026,14236,1578
2026-05-03T00:23:43Z,helsinki,16,284888,84609,190279,10000,10000,84593,0,1339,21246,1580
2026-05-03T00:23:43Z,nuremberg,16,328831,71904,246927,10000,10000,71888,0,1290,29062,1586
2026-05-03T00:23:43Z,singapore,16,316287,81327,224960,10000,10000,81311,0,1431,24691,1590
2026-05-03T00:23:43Z,sydney,16,304161,150230,145422,8509,10000,150209,5,30005,24812,1597
