tick_unix,tick_iso,node,presence_online,pubsub_received,pubsub_completed,pubsub_timed_out,pubsub_max_ms,membership_received,membership_completed,membership_timed_out,membership_max_ms,bulk_received,bulk_completed,bulk_timed_out,bulk_max_ms,recv_depth_latest,recv_depth_max,recv_capacity_latest
1777304789,2026-04-27T15:46:29Z,saorsa-2,6,965,965,0,108,1308,1308,0,1,65,65,0,0,0,20,10000
1777304789,2026-04-27T15:46:29Z,saorsa-3,6,737,737,0,84,1159,1159,0,4,48,48,0,2,0,22,10000
1777304789,2026-04-27T15:46:29Z,saorsa-6,6,808,808,0,98,1896,1895,1,5001,58,58,0,2,0,17,10000
1777304789,2026-04-27T15:46:29Z,saorsa-7,5,655,655,0,326,1343,1343,0,1,27,27,0,2,0,25,10000
1777304856,2026-04-27T15:47:36Z,saorsa-2,6,1265,1265,0,108,1621,1621,0,13,76,76,0,0,0,27,10000
1777304856,2026-04-27T15:47:36Z,saorsa-3,6,932,932,0,84,1474,1474,0,4,56,56,0,2,0,22,10000
1777304856,2026-04-27T15:47:36Z,saorsa-6,6,1073,1073,0,98,2366,2365,1,5001,68,68,0,2,0,17,10000
1777304856,2026-04-27T15:47:36Z,saorsa-7,5,907,907,0,326,1803,1803,0,1,35,35,0,2,0,25,10000
1777304927,2026-04-27T15:48:47Z,saorsa-2,6,1459,1459,0,108,1939,1939,0,13,87,87,0,3,0,27,10000
1777304927,2026-04-27T15:48:47Z,saorsa-3,6,1084,1084,0,150,1790,1790,0,4,65,65,0,2,0,35,10000
1777304927,2026-04-27T15:48:47Z,saorsa-6,6,1270,1270,0,98,2841,2840,1,5001,79,79,0,2,0,17,10000
1777304927,2026-04-27T15:48:47Z,saorsa-7,5,1147,1147,0,326,2263,2263,0,1,47,47,0,2,0,25,10000
1777304997,2026-04-27T15:49:57Z,saorsa-2,6,1847,1847,0,108,2260,2260,0,13,100,100,0,3,0,34,10000
1777304997,2026-04-27T15:49:57Z,saorsa-3,6,1307,1306,0,250,2109,2109,0,4,76,76,0,15,1,35,10000
1777304997,2026-04-27T15:49:57Z,saorsa-6,6,1613,1613,0,98,3325,3324,1,5001,93,93,0,2,0,36,10000
1777304997,2026-04-27T15:49:57Z,saorsa-7,5,1400,1400,0,326,2734,2734,0,1,55,55,0,2,0,25,10000
1777305069,2026-04-27T15:51:09Z,saorsa-2,6,2165,2165,0,108,2589,2589,0,13,111,111,0,3,0,34,10000
1777305069,2026-04-27T15:51:09Z,saorsa-3,6,1603,1603,0,250,2423,2423,0,4,84,84,0,15,0,35,10000
1777305069,2026-04-27T15:51:09Z,saorsa-6,6,1893,1893,0,122,3793,3792,1,5001,103,103,0,2,0,36,10000
1777305069,2026-04-27T15:51:09Z,saorsa-7,5,1764,1764,0,326,3194,3194,0,1,64,64,0,2,0,25,10000
1777305140,2026-04-27T15:52:20Z,saorsa-2,6,2429,2429,0,164,2908,2908,0,13,123,123,0,3,0,34,10000
1777305140,2026-04-27T15:52:20Z,saorsa-3,6,1793,1793,0,250,2739,2739,0,4,94,94,0,15,0,35,10000
1777305140,2026-04-27T15:52:20Z,saorsa-6,6,2188,2188,0,122,4270,4269,1,5001,117,117,0,2,0,51,10000
1777305140,2026-04-27T15:52:20Z,saorsa-7,5,1980,1980,0,326,3665,3665,0,1,75,75,0,2,0,25,10000
1777305211,2026-04-27T15:53:31Z,saorsa-2,6,2902,2902,0,355,3231,3231,0,13,136,136,0,3,0,34,10000
