tick_unix,tick_iso,node,presence_online,ps_received,ps_completed,ps_timed_out,ps_max_ms,ms_received,ms_completed,ms_timed_out,ms_max_ms,bk_received,bk_completed,bk_timed_out,bk_max_ms,rd_pubsub_latest,rd_pubsub_max,rd_pubsub_cap,rd_ms_latest,rd_ms_max,rd_ms_cap,rd_bk_latest,rd_bk_max,rd_bk_cap
1777321034,2026-04-27T20:17:14Z,saorsa-2,5,472,472,0,116,1778,1778,0,9,63,63,0,0,0,25,10000,0,1,4000,0,0,4000
1777321034,2026-04-27T20:17:14Z,saorsa-3,5,530,530,0,136,1703,1703,0,83,59,59,0,2,0,17,10000,0,0,4000,0,0,4000
1777321034,2026-04-27T20:17:14Z,saorsa-6,5,470,470,0,53,1779,1779,0,0,57,57,0,1,0,9,10000,0,1,4000,0,0,4000
1777321034,2026-04-27T20:17:14Z,saorsa-7,3,0,0,0,0,0,0,0,0,18,18,0,5,0,0,0,0,0,0,0,0,4000
1777321102,2026-04-27T20:18:22Z,saorsa-2,5,553,553,0,116,2072,2072,0,9,71,71,0,0,0,25,10000,0,1,4000,0,0,4000
1777321102,2026-04-27T20:18:22Z,saorsa-3,5,607,607,0,136,2003,2003,0,83,68,68,0,2,0,17,10000,0,0,4000,0,0,4000
1777321102,2026-04-27T20:18:22Z,saorsa-6,5,587,587,0,53,2082,2082,0,0,66,66,0,2,0,9,10000,0,1,4000,0,0,4000
1777321102,2026-04-27T20:18:22Z,saorsa-7,3,0,0,0,0,0,0,0,0,23,23,0,5,0,0,0,0,0,0,0,0,4000
1777321173,2026-04-27T20:19:33Z,saorsa-2,5,652,652,0,135,2381,2381,0,9,83,83,0,0,0,25,10000,0,1,4000,0,0,4000
1777321173,2026-04-27T20:19:33Z,saorsa-3,5,700,700,0,136,2309,2309,0,83,78,78,0,2,0,17,10000,0,0,4000,0,0,4000
1777321173,2026-04-27T20:19:33Z,saorsa-6,5,725,725,0,53,2379,2379,0,0,76,76,0,2,0,11,10000,0,1,4000,0,0,4000
1777321173,2026-04-27T20:19:33Z,saorsa-7,3,0,0,0,0,0,0,0,0,28,28,0,5,0,0,0,0,0,0,0,0,4000
1777321243,2026-04-27T20:20:43Z,saorsa-2,5,733,733,0,135,2686,2686,0,9,91,91,0,0,0,25,10000,0,1,4000,0,0,4000
1777321243,2026-04-27T20:20:43Z,saorsa-3,5,824,824,0,136,2615,2615,0,83,87,87,0,2,0,17,10000,0,0,4000,0,0,4000
1777321243,2026-04-27T20:20:43Z,saorsa-6,5,818,818,0,53,2682,2682,0,0,85,85,0,2,0,11,10000,0,1,4000,0,0,4000
1777321243,2026-04-27T20:20:43Z,saorsa-7,3,0,0,0,0,0,0,0,0,32,32,0,5,0,0,0,0,0,0,0,0,4000
1777321313,2026-04-27T20:21:53Z,saorsa-2,5,841,841,0,144,2987,2987,0,9,99,99,0,0,0,25,10000,0,1,4000,0,0,4000
1777321313,2026-04-27T20:21:53Z,saorsa-3,5,959,959,0,136,2919,2919,0,83,96,96,0,2,0,17,10000,0,0,4000,0,0,4000
1777321313,2026-04-27T20:21:53Z,saorsa-6,5,1011,1011,0,74,2983,2983,0,0,94,94,0,2,0,11,10000,0,1,4000,0,0,4000
1777321313,2026-04-27T20:21:53Z,saorsa-7,3,0,0,0,0,0,0,0,0,38,38,0,5,0,0,0,0,0,0,0,0,4000
1777321384,2026-04-27T20:23:04Z,saorsa-2,5,1001,1001,0,144,3295,3295,0,9,111,111,0,1,0,25,10000,0,1,4000,0,0,4000
1777321384,2026-04-27T20:23:04Z,saorsa-3,5,1093,1093,0,136,3221,3221,0,83,106,106,0,2,0,17,10000,0,0,4000,0,0,4000
1777321384,2026-04-27T20:23:04Z,saorsa-6,5,1089,1089,0,119,3279,3279,0,0,104,104,0,2,0,11,10000,0,1,4000,0,0,4000
1777321384,2026-04-27T20:23:04Z,saorsa-7,3,0,0,0,0,0,0,0,0,42,42,0,5,0,0,0,0,0,0,0,0,4000
1777321454,2026-04-27T20:24:14Z,saorsa-2,5,1141,1141,0,186,3599,3599,0,9,119,119,0,1,0,25,10000,0,1,4000,0,0,4000
1777321454,2026-04-27T20:24:14Z,saorsa-3,5,1318,1318,0,136,3528,3528,0,83,115,115,0,2,0,55,10000,0,0,4000,0,0,4000
1777321454,2026-04-27T20:24:14Z,saorsa-6,5,1251,1251,0,119,3579,3579,0,0,113,113,0,2,0,11,10000,0,1,4000,0,0,4000
1777321454,2026-04-27T20:24:14Z,saorsa-7,3,0,0,0,0,0,0,0,0,46,46,0,5,0,0,0,0,0,0,0,0,4000
