tick_unix,node,presence_online,pubsub_received,pubsub_completed,pubsub_timed_out,membership_timed_out,bulk_received,bulk_completed,bulk_timed_out,bulk_max_ms,recv_pubsub_max,recv_membership_max,recv_bulk_max
1777320055,node-1,4,232,232,0,0,5,5,0,0,8,0,0
1777320055,node-2,4,298,298,0,0,7,7,0,0,4,1,0
1777320055,node-3,4,437,437,0,0,9,9,0,0,7,1,0
1777320055,node-4,4,476,476,0,0,9,9,0,0,7,0,0
1777320065,node-1,4,301,301,0,0,7,7,0,0,8,1,0
1777320065,node-2,4,410,410,0,0,11,11,0,0,4,1,0
1777320065,node-3,4,652,652,0,0,15,15,0,0,7,1,0
1777320065,node-4,4,721,721,0,0,15,15,0,0,7,0,0
1777320075,node-1,4,431,431,0,0,10,10,0,0,8,1,0
1777320075,node-2,4,555,555,0,0,16,16,0,0,4,1,0
1777320075,node-3,4,843,843,0,0,21,21,0,0,7,1,0
1777320075,node-4,4,914,914,0,0,21,21,0,0,7,0,0
1777320085,node-1,4,646,646,0,0,16,16,0,0,8,1,0
1777320085,node-2,4,768,768,0,0,22,22,0,0,4,1,0
1777320085,node-3,4,1039,1039,0,0,27,27,0,0,7,1,0
1777320085,node-4,4,1115,1115,0,0,27,27,0,0,7,0,0
1777320096,node-1,4,838,838,0,0,22,22,0,0,8,1,0
1777320096,node-2,4,941,941,0,0,28,28,0,0,4,1,0
1777320096,node-3,4,1195,1195,0,0,33,33,0,0,7,1,0
1777320096,node-4,4,1311,1311,0,0,33,33,0,0,7,1,0
1777320106,node-1,4,1041,1041,0,0,28,28,0,0,8,1,0
1777320106,node-2,4,1131,1131,0,0,34,34,0,0,4,1,0
1777320106,node-3,4,1382,1382,0,0,39,39,0,0,7,1,0
1777320106,node-4,4,1504,1504,0,0,39,39,0,0,7,1,0
1777320116,node-1,4,1239,1239,0,0,34,34,0,0,8,1,0
1777320116,node-2,4,1314,1314,0,0,40,40,0,0,8,1,0
1777320116,node-3,4,1557,1557,0,0,45,45,0,0,7,1,0
1777320116,node-4,4,1687,1687,0,0,45,45,0,0,7,1,0
1777320126,node-1,4,1479,1479,0,0,40,40,0,0,8,1,0
1777320126,node-2,4,1532,1532,0,0,46,46,0,0,8,1,0
1777320126,node-3,4,1765,1765,0,0,51,51,0,0,7,1,0
1777320126,node-4,4,1914,1914,0,0,51,51,0,0,7,1,0
1777320136,node-1,4,1687,1687,0,0,46,46,0,0,8,1,0
1777320136,node-2,4,1725,1725,0,0,52,52,0,0,8,1,0
1777320136,node-3,4,1945,1945,0,0,57,57,0,0,7,2,0
1777320136,node-4,4,2110,2110,0,0,57,57,0,0,7,1,0
1777320147,node-1,4,1880,1880,0,0,52,52,0,0,8,1,0
1777320147,node-2,4,1909,1909,0,0,58,58,0,0,8,1,0
1777320147,node-3,4,2124,2124,0,0,63,63,0,0,7,2,0
1777320147,node-4,4,2308,2308,0,0,63,63,0,0,7,1,0
1777320157,node-1,4,2071,2071,0,0,58,58,0,0,8,1,0
1777320157,node-2,4,2089,2089,0,0,64,64,0,0,8,1,0
1777320157,node-3,4,2291,2291,0,0,69,69,0,0,7,2,0
1777320157,node-4,4,2491,2491,0,0,69,69,0,0,7,1,0
1777320167,node-1,4,2814,2814,0,0,64,64,0,0,9,1,0
1777320167,node-2,4,2821,2821,0,0,70,70,0,0,20,1,0
1777320167,node-3,4,2480,2480,0,0,75,75,0,0,7,2,0
1777320167,node-4,4,3139,3139,0,0,75,75,0,0,17,1,0
